Disease,Week 17,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,0,18,28,17
Acute Encephalitis/Meningitis Viral,0,1,2,2
Anthrax,0,0,0,0
Chickenpox,43,419,300,560
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,0,9,9,5
Food Poisoning,55,463,471,559
Gastroenteritis (< 2years),0,11,87,108
Hepatitis A,1,3,3,4
Hepatitis B,3,23,22,13
Hepatitis Unspecified,0,4,0,0
Legionnaires' Disease,0,2,2,0
Leptospirosis,0,0,1,0
Malaria,0,0,0,1
Measles,0,4,9,8
Meningococcal Septicaemia,0,4,7,7
Mumps,0,60,196,229
Paratyphoid Fever,0,0,1,0
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,1,0
Scarlet Fever,15,297,165,231
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),1,21,18,18
Tuberculosis (Non Pulmonary),0,3,13,12
Typhoid,0,0,1,0
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,0,9,27,28
Yellow Fever,0,0,0,0
Total,118,1351,1363,1802
