Disease,Week 12,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,0,16,20,14
Acute Encephalitis/Meningitis Viral,0,0,2,2
Anthrax,0,0,0,0
Chickenpox,17,213,209,337
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,0,7,6,4
Food Poisoning,38,282,292,354
Gastroenteritis (< 2years),0,7,53,82
Hepatitis A,0,1,0,2
Hepatitis B,1,16,16,10
Hepatitis Unspecified,1,1,0,0
Legionnaires' Disease,0,2,2,0
Leptospirosis,0,0,0,0
Malaria,0,0,0,1
Measles,0,4,3,8
Meningococcal Septicaemia,1,3,7,6
Mumps,4,52,133,176
Paratyphoid Fever,0,0,1,0
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,1,0
Scarlet Fever,23,206,114,155
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),0,15,13,12
Tuberculosis (Non Pulmonary),1,1,9,8
Typhoid,0,0,1,0
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,0,8,16,24
Yellow Fever,0,0,0,0
Total,31,834,898,1195
