Disease,Week 09,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,0,10,14,13
Acute Encephalitis/Meningitis Viral,0,0,2,1
Anthrax,0,0,0,0
Chickenpox,24,138,147,249
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,1,6,2,2
Food Poisoning,37,200,192,276
Gastroenteritis (< 2years),0,6,14,61
Hepatitis A,0,1,0,2
Hepatitis B,1,12,8,8
Hepatitis Unspecified,0,0,0,0
Legionnaires' Disease,0,2,0,0
Leptospirosis,0,0,0,0
Malaria,0,0,0,1
Measles,0,4,2,6
Meningococcal Septicaemia,0,2,2,3
Mumps,6,42,90,136
Paratyphoid Fever,0,0,0,0
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,1,0
Scarlet Fever,14,144,76,78
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),1,12,10,10
Tuberculosis (Non Pulmonary),0,1,8,6
Typhoid,0,0,1,0
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,1,7,8,19
Yellow Fever,0,0,0,0
Total,85,587,577,871
