Disease,Week 15,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,0,17,24,15
Acute Encephalitis/Meningitis Viral,0,1,2,2
Anthrax,0,0,0,0
Chickenpox,57,322,267,451
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,2,9,6,4
Food Poisoning,35,362,395,458
Gastroenteritis (< 2years),1,10,78,96
Hepatitis A,1,3,1,2
Hepatitis B,2,21,21,13
Hepatitis Unspecified,0,2,0,0
Legionnaires' Disease,0,2,2,0
Leptospirosis,0,0,0,0
Malaria,0,0,0,1
Measles,0,4,7,8 
Meningococcal Septicaemia,0,4,7,6
Mumps,4,59,184,207
Paratyphoid Fever,0,0,1,0
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,1,0
Scarlet Fever,15,255,154,198
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),0,19,18,14
Tuberculosis (Non Pulmonary),1,2,12,12
Typhoid,0,0,1,0
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,1,9,21,28
Yellow Fever,0,0,0,0
Total,119,1101,1202,1515
