"","Group.1","x"
"1","Albania",3.50287878787879
"2","Antigua and Barbuda",0.552901234567901
"3","Argentina",10.4693279569892
"4","Armenia",3.27587248322148
"5","Aruba",9.50309523809524
"6","Australia",12.9928055555556
"7","Austria",23.7597643979058
"8","Azerbaijan",1.85541666666667
"9","Bahamas",1.24739130434783
"10","Bahrain",1.85412698412698
"11","Barbados",2.97043333333333
"12","Belarus",31.0759126984127
"13","Belgium",21.2379032258065
"14","Belize",6.230625
"15","Bosnia and Herzegovina",4.61708333333333
"16","Brazil",5.84602150537634
"17","Bulgaria",19.4891111111111
"18","Cabo Verde",11.1533333333333
"19","Canada",12.4675862068966
"20","Chile",10.5420430107527
"21","Colombia",5.40158602150538
"22","Costa Rica",7.09366666666667
"23","Croatia",22.8352671755725
"24","Cuba",21.2220486111111
"25","Cyprus",3.29359550561798
"26","Czech Republic",18.4875465838509
"27","Denmark",14.0971590909091
"28","Dominican Republic",0
"29","Ecuador",6.30432795698925
"30","El Salvador",10.5414583333333
"31","Estonia",27.2769047619048
"32","Fiji",5.105
"33","Finland",22.7704310344828
"34","France",21.6756944444444
"35","Georgia",4.22871212121212
"36","Germany",15.5599038461538
"37","Greece",4.06483870967742
"38","Grenada",2.13225806451613
"39","Guatemala",3.18527777777778
"40","Guyana",22.1864
"41","Hungary",32.7615161290323
"42","Iceland",12.8003664921466
"43","Ireland",10.7825833333333
"44","Israel",8.95153225806452
"45","Italy",8.51846774193548
"46","Jamaica",0.521764705882353
"47","Japan",21.5731989247312
"48","Kazakhstan",30.5112820512821
"49","Kiribati",6.65537878787879
"50","Kuwait",1.18643333333333
"51","Kyrgyzstan",14.2862179487179
"52","Latvia",29.2593253968254
"53","Lithuania",40.415572519084
"54","Luxembourg",16.5498924731183
"55","Macau",14.3116666666667
"56","Maldives",1.36733333333333
"57","Malta",5.03228494623656
"58","Mauritius",11.6873821989529
"59","Mexico",4.7075
"60","Mongolia",18.439
"61","Montenegro",9.95025
"62","Netherlands",10.6453403141361
"63","New Zealand",14.391724137931
"64","Nicaragua",6.56694444444444
"65","Norway",12.941
"66","Oman",0.736111111111111
"67","Panama",5.81353333333333
"68","Paraguay",4.21719135802469
"69","Philippines",2.42127777777778
"70","Poland",15.2695138888889
"71","Portugal",11.3375308641975
"72","Puerto Rico",10.1862365591398
"73","Qatar",1.7873595505618
"74","Romania",12.4896706586826
"75","Russia",34.8923765432099
"76","Saint Kitts and Nevis",0
"77","Saint Lucia",7.20273809523809
"78","Saint Vincent and Grenadines",5.75543333333333
"79","San Marino",4.045
"80","Serbia",22.1641203703704
"81","Seychelles",7.48009259259259
"82","Singapore",17.0456451612903
"83","Slovakia",12.5687878787879
"84","Slovenia",27.8278571428571
"85","South Africa",0.964541666666667
"86","South Korea",25.1356182795699
"87","Spain",9.43295698924731
"88","Sri Lanka",35.2951515151515
"89","Suriname",21.3164285714286
"90","Sweden",14.6584357541899
"91","Switzerland",19.0240873015873
"92","Thailand",7.0738622754491
"93","Trinidad and Tobago",13.8256481481481
"94","Turkey",2.37107142857143
"95","Turkmenistan",8.6055459770115
"96","Ukraine",26.5823214285714
"97","United Arab Emirates",1.31791666666667
"98","United Kingdom",7.50247311827957
"99","United States",13.819811827957
"100","Uruguay",19.4611904761905
"101","Uzbekistan",8.09912878787879
