Disease,Week 14,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,0,17,21,15
Acute Encephalitis/Meningitis Viral,0,1,2,2
Anthrax,0,0,0,0
Chickenpox,32,265,255,397
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,0,7,6,4
Food Poisoning,27,329,344,415
Gastroenteritis (< 2years),0,9,74,92
Hepatitis A,1,2,0,2
Hepatitis B,3,19,20,12
Hepatitis Unspecified,1,2,0,0
Legionnaires' Disease,0,2,2,0
Leptospirosis,0,0,0,0
Malaria,0,0,0,1
Measles,0,4,5,8
Meningococcal Septicaemia,0,4,7,6
Mumps,2,55,167,197
Paratyphoid Fever,0,0,1,0
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,1,0
Scarlet Fever,11,240,142,179
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),0,19,16,14
Tuberculosis (Non Pulmonary),0,1,12,11
Typhoid,0,0,1,0
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,0,8,20,27
Yellow Fever,0,0,0,0
Total,77,984,1096,1382
