Disease,Week 22,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,0,21,35,25
Acute Encephalitis/Meningitis Viral,0,1,3,3
Anthrax,0,0,0,0
Chickenpox,27,624,421,882
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,0,14,9,5
Food Poisoning,58,713,694,782
Gastroenteritis (< 2years),0,17,122,135
Hepatitis A,0,4,3,4
Hepatitis B,3,26,33,22
Hepatitis Unspecified,0,9,0,0
Legionnaires' Disease,0,2,2,0
Leptospirosis,0,0,1,0
Malaria,0,0,2,1
Measles,0,6,9,9
Meningococcal Septicaemia,0,4,8,8
Mumps,2,71,247,260
Paratyphoid Fever,0,0,1,1
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,3,0
Scarlet Fever,3,376,216,277
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),2,26,25,23
Tuberculosis (Non Pulmonary),1,5,16,13
Typhoid,0,0,1,1
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,1,16,36,37
Yellow Fever,0,0,0,0
Total,97,1935,1887,2488
