Disease,Week 11,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,3,4,19,13
Acute Encephalitis/Meningitis Viral,0,0,2,2
Anthrax,0,0,0,0
Chickenpox,29,29,181,318
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,0,0,4,4
Food Poisoning,21,20,252,319
Gastroenteritis (< 2years),0,0,23,75
Hepatitis A,0,0,0,2
Hepatitis B,3,3,14,10
Hepatitis Unspecified,0,0,0,0
Legionnaires' Disease,0,0,1,0
Leptospirosis,0,0,0,0
Malaria,0,0,0,1
Measles,0,0,2,7
Meningococcal Septicaemia,0,0,5,4
Mumps,4,4,115,156
Paratyphoid Fever,0,0,1,0
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,1,0
Scarlet Fever,23,23,104,115
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),1,2,11,11
Tuberculosis (Non Pulmonary),1,0,9,6
Typhoid,0,0,1,0
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,1,1,14,22
Yellow Fever,0,0,0,0
Total,86,86,759,1065
