Disease,Week 13,2018,2017,2016
Acute Encephalitis/Meningitis Bacterial,0,17,20,14
Acute Encephalitis/Meningitis Viral,1,1,2,2
Anthrax,0,0,0,0
Chickenpox,20,233,230,362
Cholera,0,0,0,0
Diphtheria,0,0,0,0
Dysentery,0,7,6,4
Food Poisoning,25,303,323,374
Gastroenteritis (< 2years),2,9,72,85
Hepatitis A,0,1,0,2
Hepatitis B,0,16,19,10
Hepatitis Unspecified,0,1,0,0
Legionnaires' Disease,0,2,2,0
Leptospirosis,0,0,0,0
Malaria,0,0,0,1
Measles,0,4,4,8
Meningococcal Septicaemia,2,4,7,6
Mumps,1,53,153,184
Paratyphoid Fever,0,0,1,0
Plague,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0
Poliomyelitis (Acute),0,0,0,0
Rabies,0,0,0,0
Relapsing Fever,0,0,0,0
Rubella,0,0,1,0
Scarlet Fever,23,229,130,170
Smallpox,0,0,0,0
Tetanus,0,0,0,0
Tuberculosis (Pulmonary),4,19,13,12
Tuberculosis (Non Pulmonary),0,1,10,9
Typhoid,0,0,1,0
Typhus,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0
Whooping Cough,0,8,16,27
Yellow Fever,0,0,0,0
Total,78,908,1010,1270
